,dow,Season,Total,dowsat,dowsun,dowmon,dowtue,dowwed,dowthu,dowfri,aj1,aj2,aj3,aj4,f1,f2,f3,f4,m1,m2,m3,m4
0,Sat,aj1,548.9715,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,Fri,m1,80.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,Sun,m1,340.5255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,Sun,aj4,489.048,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Fri,f2,634.3785,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5,Mon,m4,627.6165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Mon,f4,433.692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Sun,f4,772.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Thu,aj2,76.146,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Wed,f3,172.746,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Wed,f1,60.816,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,Sat,m2,107.142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,Tue,f2,246.4875,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,Thu,f1,453.495,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
14,Fri,m4,749.49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,Tue,aj2,590.436,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,Mon,m2,506.6355,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,Tue,m2,457.443,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,Mon,aj3,172.2105,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,Mon,m2,84.63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,Mon,f4,451.71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,Tue,m1,277.137,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,Fri,m2,69.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23,Sun,f3,181.44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,Sat,m1,279.1845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,Fri,m3,441.756,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
26,Fri,f2,35.196,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
27,Sun,m2,184.107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,Fri,aj4,463.89,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
29,Fri,m2,235.2105,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
30,Mon,f4,494.1825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Mon,aj4,737.7615,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,Thu,aj2,703.752,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
33,Fri,m2,202.818,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
34,Wed,f1,417.564,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,Mon,aj1,71.526,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,Sun,m2,328.755,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,Tue,aj2,575.316,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,Sat,m3,461.328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,Sun,m1,253.008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,Thu,aj3,91.056,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
41,Sat,f1,117.831,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Fri,f2,435.456,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
43,Mon,m1,829.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,Sat,m2,32.277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,Sat,m2,394.632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,Wed,f4,535.7205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,Wed,f1,189.0945,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,Sun,f2,119.259,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,Tue,m3,867.615,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,Sun,f1,671.79,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Sun,f2,234.0975,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,Fri,m3,75.054,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
53,Fri,aj4,16.2015,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
54,Thu,m1,33.936,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
55,Thu,f4,722.232,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
56,Wed,m4,93.114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,Thu,f1,752.64,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
58,Sun,aj3,759.675,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,Tue,m2,192.843,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,Fri,f3,77.931,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
61,Sun,f4,351.099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
